product_id,product_type,product_name,product_option
80,일반네일,웨이크메이크 네일건 글리터 9 COLORS,48 드리미 모먼트
81,샴푸,아로마티카 로즈마리 드라이 샴푸 파우더 10g,
82,헤어브러쉬,탱글티저 스칼프 마사지 브러쉬 4종 택 1,라벤더 라이트
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
83,패드,리얼베리어 익스트림 판테놀 토너 패드 80매 (+10매 증정기획),
83,패드,리얼베리어 익스트림 판테놀 토너 패드 80매 (+10매 증정기획),
84,블러셔,[NEW컬러] 페리페라 맑게 물든 선샤인 치크,16 도토리 좋아해 (온)
85,린스/컨디셔너,이브로쉐 라즈베리 샤인 헤어 식초 150ml,
86,린스/컨디셔너,이브로쉐 라즈베리 샤인 헤어식초 400ml 더블 기획,
87,크림,닥터자르트 프리쥬비네이션 퍼밍 바쿠치올 크림 50ml,
54,아이소품,필리밀리 슬림헤드눈썹칼(2P),
88,향수,존바바토스 아티산 EDT 125ml,
89,바디로션,[산뜻보송] 더마비 프레쉬 모이스처 바디로션 400ml 더블기획,
90,선크림,[수분선크림/1+1]닥터지 레드 블레미쉬 수딩 업 선 50ml 1+1 콜라보 기획,
57,에센스/세럼/앰플,[트러블흔적미백케어] 코스알엑스 더 알파-알부틴 2 디스컬러레이션 흔적케어 세럼,
91,아이섀도우,[NEW컬러] 투쿨포스쿨 프로타주 펜슬 11colors,11 듀 베이지
92,샴푸,헤어플러스 컬러본드 보색 샴푸 300ml,
93,샴푸,[단독기획]헤어플러스 컬러본드 보색 샴푸 더블 기획 (300ml+300ml),
94,크림,[11월 올영픽/한정기획]바이오더마 시카비오 포마드 100ml 더블 기획,시카비오 포마드 더블기획
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
95,마스크팩,[진정탄력]아비브 콜라겐 겔 마스크 어성초 젤리 1매,
96,선크림,[수분 선크림] 시카 수분 선쿠션 SPF50+/PA++++ 15g,
56,스킨케어소품,필리밀리 비건페이스타월,
97,쿠션,파넬 시카마누 세럼쿠션 기획 (본품+리필),[본품+리필] 21호
98,푸드,"빙그레 더단백 프로틴바 1ea 3종 택1(초코,피넛버터,아몬드쿠키)",더단백 크런치바 초코
99,컨실러,[플랫브러쉬기획/톤천재팔레트] 루나 컨실 블렌더 팔레트 4colors,02 퓨어 커버
100,크림,라로슈포제 시카플라스트 멀티 리페어 크림 B5 100ml 기획 (+3ml*2 추가증정),[기획] 시카크림 100ml SET
101,아이라이너,[NEW] 투크 워터프루프 슬림 아이라이너 15colors (기획/단품),로지뮤트
45,블러셔,[11월 올영픽/한정기획] 디어달리아 리퀴드 블러쉬 (+헤어핀 2P),[리미티드] 소프티+헤어핀
102,하이라이터,[NEW 쿨톤신상] 힌스 트루 디멘션 래디언스 밤(하이라이터)(+쉘퍼프3P 증정),라이트
103,코팩,[피지연화/스패츌러] 메디힐 블랙헤드 멜팅 클리어 코팩 4매,블랙헤드 코팩 4매
104,마스크팩,[2+2매] 메디힐 마데카소사이드 에센셜 마스크 흔적 리페어,
105,블러셔,[키링 증정/NEW 블러셔] 누즈 무스 케어 치크 핸디 8 Color,03 샤이 미
105,블러셔,[키링 증정/NEW 블러셔] 누즈 무스 케어 치크 핸디 8 Color,05 딤덤
106,립밤,블리스텍스 립 메덱스 립밤 7g,
56,스킨케어소품,필리밀리 비건페이스타월,
107,립밤,[김지영PICK] 니베아 립케어 프루티샤인 체리 더블 기획 (4.8g+4.8g),
108,립틴트,[NEW 단독기획] 무지개맨션 오브제 리퀴드 틴트 기획/단품 택1,[글로스 기획]024 집시로즈
109,기타 비타민,[NEW] 바이탈뷰티 에너지샷 바디 앤 브레인 7입,
110,크림,[극강 보습] 리얼베리어 익스트림 크림 70ml 1+1 기획 (+선크림 10ml),
111,크림,[색소침착/미백] 마일드랩 딥 멜라케어 스팟 트리트먼트 오인트겔 20ml,
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
112,상처치료용품,[의료기기] 케어플러스 데미지 메디컬 크림 40g,
113,에센스/세럼/앰플,[한정기획] 구달 흑당근 비타A 레티놀 탄력앰플 30ml 더블기획(30ml+30ml),
114,스팟패치,[짜기전]케어플러스 스팟커버 패치 카밍 5종 골라담기 [24매/96매/126매(+연고5g)/180매/252매],[기본]96매
115,헤어 트리트먼트,미쟝센 살롱10 단백질 트리트먼트 에센스팩 990ml (손상/극손상) 2종 택1,에센스팩 손상 990ml
116,크림,[의약외품] 마일드랩 센텔라스카 연고 30g,
117,푸드,[11월올영픽/1+1] 에치와이 갓비움 야쿠르트 100ml,
118,립밤,[촉촉보습/진짜과즙] 멘소래담 립아이스 립밤 3종 택1,스트로베리
118,립밤,[촉촉보습/진짜과즙] 멘소래담 립아이스 립밤 3종 택1,레몬
118,립밤,[촉촉보습/진짜과즙] 멘소래담 립아이스 립밤 3종 택1,그레이프프루트 티
114,스팟패치,[짜기전]케어플러스 스팟커버 패치 카밍 5종 골라담기 [24매/96매/126매(+연고5g)/180매/252매],[중용량]180매
119,에센스/세럼/앰플,[더보이즈 현재PICK/재구매1위] 앰플엔 세라마이드샷 보습장벽앰플 100ml기획(+10ml),
120,오메가/루테인,닥터브라이언 렛잇츄 알티지 오메가-3 츄어블 메론향(28개) (14일분),
117,푸드,[11월올영픽/1+1] 에치와이 갓비움 야쿠르트 100ml,
121,크림,[아랑 PICK] 낫츠 센텔라스카 연고 일랑일랑 더블 기획(15g+15g),
122,에센스/세럼/앰플,[NEW] 아누아 피디알엔 히알루론산 캡슐 100 세럼 1ml*10ea,
111,크림,[색소침착/미백] 마일드랩 딥 멜라케어 스팟 트리트먼트 오인트겔 20ml,
123,마스크팩,메디힐 마데카소사이드 에센셜 마스크 흔적 리페어 1매,
124,치실/치간칫솔,오랄비 치실 왁스 50m (플라그케어),
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
125,혀클리너,닥터텅스 구역질없는 혀클리너(파우치 증정)(색상 랜덤),
126,아이라이너,[NEW컬러] 투쿨포스쿨 스머징 트임 라이너 6colors,01 헤이즈
127,에센스/세럼/앰플,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),
128,입는 생리대,좋은느낌 입는 오버나이트 4P 2종 택 1 (중형/대형),입오버 대형 4P
129,우산,벤시몽 피치 드롭 접이식 우산,
130,마스크팩,[10분급속진정] 아비브 껌딱지 시트 마스크 어성초 스티커 1매,어성초 1매
